,pick_count,pick_rate,ban_count,ban_rate,presence_count,presence_rate
KogMaw,2805,0.027542393684396572,1447,0.014208143907779622,4252,0.041750537592176194
Singed,3193,0.03135217933485856,990,0.009720844829787025,4183,0.04107302416464558
Zeri,3713,0.036458077629292145,440,0.004320375479905344,4153,0.04077845310919749
Velkoz,3299,0.03239299706410848,769,0.00755083805465275,4068,0.039943835118761234
Rumble,3080,0.03024262835933741,864,0.00848364639690504,3944,0.03872627475624245
RekSai,2877,0.02824936421747199,1041,0.010221615624048781,3918,0.03847097984152077
Xayah,3408,0.03346327189890321,472,0.004634584605716642,3880,0.03809785650461986
Olaf,2621,0.02573569121098161,1210,0.011881032569739698,3831,0.037616723780721305
Lissandra,3012,0.029574933966988404,731,0.007177714717751834,3743,0.036752648684740236
AurelionSol,2592,0.02545093919071512,840,0.008247989552546567,3432,0.033698928743261684
Cassiopeia,1989,0.019530060976208477,1438,0.014119772591145194,3427,0.033649833567353675
Heimerdinger,2005,0.019687165539114128,1255,0.012322889152911834,3260,0.03201005469202596
Rammus,1257,0.012342527223275042,1854,0.018204491226692064,3111,0.030547018449967107
Gnar,2456,0.024115550406017105,408,0.004006166354094047,2864,0.028121716760111153
Maokai,2512,0.024665416376186876,222,0.0021798258103158785,2734,0.026845242186502753
Sejuani,2371,0.023280932415580845,193,0.0018950737900493898,2564,0.025176006205630236
Renata,2019,0.019824632031656568,199,0.001953988001139008,2218,0.021778620032795577
Taric,1799,0.0176644442917039,355,0.003485757489469085,2154,0.02115020178117298
Shyvana,1753,0.017212768673350157,253,0.002484215900945573,2006,0.01969698457429573
Skarner,1202,0.011802480288286872,402,0.003947252143004429,1604,0.0157497324312913
Kalista,1047,0.0102805298351384,193,0.0018950737900493898,1240,0.012175603625187789
